iter	Passed	Remaining
0	208	62456
1	417	62200
2	633	62696
3	843	62446
4	1054	62227
5	1276	62572
6	1601	67014
7	1818	66372
8	2031	65687
9	2244	65087
10	2455	64518
11	2665	63964
12	2877	63536
13	3095	63232
14	3307	62844
15	3524	62562
16	3735	62189
17	3962	62074
18	4175	61749
19	4389	61453
20	4598	61100
21	4819	60906
22	5032	60608
23	5259	60479
24	5487	60367
25	5720	60280
26	5937	60037
27	6162	59860
28	6371	59545
29	6587	59289
30	6804	59041
31	7015	58755
32	7231	58511
33	7441	58220
34	7658	57985
35	7867	57697
36	8084	57466
37	8297	57206
38	8504	56915
39	8732	56762
40	8969	56663
41	9196	56495
42	9432	56374
43	9658	56192
44	9873	55951
45	10099	55766
46	10309	55496
47	10525	55257
48	10736	54996
49	10944	54724
50	11159	54482
51	11368	54221
52	11579	53965
53	11788	53702
54	11996	53438
55	12205	53180
56	12422	52957
57	12634	52714
58	12849	52485
59	13072	52289
60	13289	52067
61	13504	51840
62	13716	51599
63	13939	51402
64	14161	51197
65	14416	51114
66	14632	50884
67	14840	50632
68	15050	50387
69	15271	50177
70	15486	49948
71	15699	49714
72	15914	49488
73	16130	49264
74	16341	49024
75	16546	48767
76	16747	48501
77	16949	48241
78	17156	47993
79	17364	47751
80	17566	47493
81	17769	47241
82	17973	46991
83	18179	46746
84	18383	46500
85	18591	46262
86	18802	46034
87	19013	45804
88	19217	45561
89	19427	45330
90	19642	45113
91	19856	44892
92	20060	44650
93	20274	44431
94	20486	44207
95	20701	43991
96	20915	43772
97	21157	43609
98	21365	43378
99	21572	43144
100	21772	42898
101	21969	42645
102	22172	42407
103	22373	42166
104	22571	41918
105	22766	41667
106	22965	41423
107	23173	41196
108	23379	40967
109	23577	40724
110	23780	40490
111	23982	40256
112	24183	40019
113	24383	39783
114	24585	39550
115	24782	39310
116	24988	39083
117	25193	38857
118	25401	38635
119	25600	38401
120	25801	38168
121	26000	37935
122	26214	37723
123	26410	37485
124	26610	37254
125	26811	37025
126	27022	36810
127	27227	36586
128	27469	36413
129	27709	36235
130	27943	36048
131	28156	35835
132	28377	35632
133	28590	35417
134	28876	35293
135	29108	35101
136	29312	34875
137	29518	34651
138	29738	34444
139	29952	34231
140	30156	34005
141	30369	33791
142	30570	33563
143	30775	33340
144	30979	33116
145	31185	32893
146	31385	32666
147	31587	32441
148	31797	32224
149	31997	31997
150	32199	31772
151	32402	31549
152	32606	31328
153	32806	31102
154	33012	30882
155	33211	30656
156	33415	30435
157	33618	30213
158	33826	29996
159	34048	29792
160	34249	29569
161	34481	29373
162	34694	29160
163	34898	28940
164	35100	28718
165	35308	28501
166	35506	28277
167	35709	28057
168	35911	27836
169	36117	27619
170	36320	27400
171	36525	27181
172	36727	26962
173	36930	26742
174	37138	26527
175	37331	26301
176	37527	26078
177	37727	25858
178	37929	25639
179	38135	25423
180	38330	25201
181	38529	24980
182	38730	24762
183	38925	24539
184	39126	24322
185	39320	24099
186	39516	23878
187	39715	23660
188	39912	23440
189	40115	23224
190	40317	23008
191	40515	22790
192	40730	22581
193	40932	22364
194	41165	22166
195	41370	21951
196	41579	21739
197	41779	21522
198	41978	21305
199	42174	21087
200	42365	20866
201	42560	20648
202	42751	20428
203	42946	20209
204	43143	19993
205	43332	19773
206	43531	19557
207	43721	19338
208	43913	19120
209	44112	18905
210	44301	18686
211	44495	18469
212	44692	18254
213	44896	18042
214	45101	17830
215	45305	17618
216	45509	17406
217	45724	17198
218	45923	16985
219	46116	16769
220	46311	16554
221	46507	16340
222	46703	16126
223	46899	15912
224	47095	15698
225	47289	15484
226	47489	15272
227	47699	15062
228	47994	14880
229	48206	14671
230	48402	14457
231	48589	14241
232	48779	14026
233	48969	13811
234	49165	13598
235	49353	13384
236	49543	13169
237	49738	12957
238	49941	12746
239	50134	12533
240	50325	12320
241	50526	12109
242	50714	11895
243	50908	11683
244	51098	11471
245	51288	11258
246	51481	11046
247	51672	10834
248	51863	10622
249	52053	10410
250	52244	10199
251	52435	9987
252	52629	9777
253	52825	9566
254	53019	9356
255	53212	9145
256	53408	8936
257	53604	8726
258	53799	8516
259	53993	8306
260	54205	8099
261	54409	7891
262	54637	7686
263	54836	7477
264	55039	7269
265	55241	7060
266	55442	6852
267	55642	6643
268	55842	6435
269	56038	6226
270	56238	6018
271	56438	5809
272	56637	5601
273	56838	5393
274	57041	5185
275	57235	4977
276	57433	4768
277	57629	4560
278	57819	4352
279	58067	4147
280	58296	3941
281	58486	3733
282	58683	3525
283	58880	3317
284	59079	3109
285	59275	2901
286	59463	2693
287	59664	2486
288	59866	2278
289	60059	2071
290	60251	1863
291	60444	1656
292	60643	1448
293	60851	1241
294	61054	1034
295	61276	828
296	61476	620
297	61673	413
298	61861	206
299	62067	0
